accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004078">ERP004078</a>	14	human	Transcriptome sequencing (RNA-seq) experiment of 14 human lymphoblastoid cell line samples from the 1000 Genomes sample set (http://www.1000genomes.org/). Dataset includes two parent-daughter trios (CEU and YRI populations) and additional eight unrelated individuals (CEU population). This accession contains raw and mapped RNA-seq read data, other assays in this study are available under accession XX (ChIP-seq) and YY (GRO-seq).	<a href="http://duffel.rail.bio/recount/ERP004078/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004078/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004078/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004078/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004078/ERP004078.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004078/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004094">ERP004094</a>	40	human	A human volunteer challenge model for typhoid fever has recently been established at the Oxford Biomedical Research Centre, University of Oxford. More than forty individuals have been infected with 1x10(4) CFU S. Typhi and the transcriptional response in peripheral blood of ten volunteers before infection and on development of fever or on day 14 id no fever was diagnosed has been determined using Illumina™ Human HT-12_V4 Beadchips (Illumina, San Diego, CA, USA). A strong transcriptional signature was associated with typhoid diagnosis.We propose to determine the peripheral blood trancriptional response at additional time points. Further we will determine th peripheral blood trancriptional response to vaccination with an established live oral typhoid vaccine Ty21a, a novel live oral vaccine and a placebo control.	<a href="http://duffel.rail.bio/recount/ERP004094/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004094/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004094/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004094/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004094/ERP004094.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004094/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004151">ERP004151</a>	4	human	To improve our understanding of the effect of differential methylation on gene expression between normal and tumor breast cells, we carried out RNA sequencing evaluate mRNA expression changes in normal breast tissue and MCF7 breast cancer cell line. We identified 6632 protein-coding genes to be significantly differentially expressed (FDR threshold of 0.05) in the MCF7 cells. IPA Bio-Function enrichment analysis showed the 'cell death and survival' and 'cellular growth and proliferation' are the top 2 terms associated with differentially expressed genes. Cancer versus normal analysis of The Cancer Genome Atlas (TCGA) Breast data revealed genes that were differentially up and down-regulated in MCF7 are mostly respectively over- and under-expressed in clinical specimens.	<a href="http://duffel.rail.bio/recount/ERP004151/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004151/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004151/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004151/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004151/ERP004151.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004151/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004211">ERP004211</a>	6	human	Human embryonic stem cells (hESCs) are isolated from the inner cell mass of the blastocysts.  The pluripotent properties of hESCs enable the derivation of cell-types or tissues of different lineages for potential applications such as therapeutics discovery and regenerative medicine.  Even though hESCs are pluripotent, differences have been observed when compared to the native pluripotent epiblast cells of the blastocyst. We use a chemical approach (3iL: 3 small molecule inhibitor and cytokine) to induce an expression signature that more closely resembles native pluripotent cells. To better understand the difference between this hESC state and the conventional hESC state, we generated the global expression profiles using RNA-seq.	<a href="http://duffel.rail.bio/recount/ERP004211/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004211/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004211/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004211/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004211/ERP004211.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004211/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004219">ERP004219</a>	10	human	The DNA damage response (DDR) is a vast signaling network that is robustly activated by DNA double-strand breaks, the critical lesion induced by ionizing radiation (IR). Although much of this response operates at the protein level, a critical component of the network sustains many DDR branches by modulating the cellular transcriptome. Using deep sequencing, we delineated three layers in the transcriptional response to IR in human breast cancer cells: changes in the expression of genes encoding proteins or long noncoding RNAs, alterations in genomic binding by key transcription factors, and dynamics of epigenetic markers of active promoters and enhancers. We identified protein-coding and previously unidentified noncoding genes that were responsive to IR, and demonstrated that IR-induced transcriptional dynamics was mediated largely by the transcription factors p53 and nuclear factor ?B (NF-?B) and was primarily dependent on the kinase ataxia-telangiectasia mutated (ATM). The resultant data set provides a rich resource for understanding a basic, underlying component of a critical cellular stress response.	<a href="http://duffel.rail.bio/recount/ERP004219/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004219/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004219/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004219/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004219/ERP004219.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004219/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004269">ERP004269</a>	12	human	Comprehensive analysis of coding and non -coding transcriptome using ribo-depleted total RNA-seq and poly A selected RNA-seq of MCF-7 cells grown in hypoxia and normoxia. Breast cancer cell line (MCF-7) is cultured in normoxic condition (21% O2) and hypoxic condition (1%O2) for 24 hours.  Expression of HIF-1alpha and/or HIF-2alpha subunits was suppressed using siRNAs in hypoxic MCF-7 cells. Total RNA was isolated from both hypoxia and normoxia conditions were subjected for ribosomal depleted stand specific RNA-seq and poly A selected RNA-seq	<a href="http://duffel.rail.bio/recount/ERP004269/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004269/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004269/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004269/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004269/ERP004269.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004269/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004270">ERP004270</a>	6	human	DICER_Ex5 cells were created by disrupting exon 5 of the human Dicer gene using an AAV targeting construct, thereby interrupting a well conserved segment of the N-terminal helicase domain while sparing the RNase III domains. In DICER_Ex5 cells, Dicer is expressed at a level lower than the wild type. This experiment started with RIP-anti-Ago2 pull-down, followed by high throughput sequencing analysis in wild type and Dicer-hypomorphic HCT116 cell lines.	<a href="http://duffel.rail.bio/recount/ERP004270/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004270/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004270/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004270/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004270/ERP004270.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004270/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004298">ERP004298</a>	4	human	Human endogenous retrovirus subfamily H (HERVH) is a class of transposable elements whose members are expressed preferentially in human pluripotent stem cells. Here, we report that the long-terminal repeat regions of HERVH function as enhancers which are regulated by OCT4. Strikingly, we found that HERVH is a nuclear-localized long non-coding RNA that is required to maintain the undifferentiated state of human embryonic stem cells. Furthermore, we showed that HERVH is associated with OCT4 and co-activators such as P300, CBP and mediator subunits. Together, these results uncover a new and unexpected role of species-specific transposable elements in specifying the pluripotency of human cells.	<a href="http://duffel.rail.bio/recount/ERP004298/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004298/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004298/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004298/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004298/ERP004298.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004298/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004352">ERP004352</a>	3	human	Characterization of AGO2 bound short RNAs from nuclear extracts of Jurkat cell line. Nuclei were isolated from cells; a fraction of Nuclear lysates was harvested and sequenced as the "input" samples. The rest of nuclear lysates were Immunoprecipitated using AGO2 monoclonal antibodies or Isotype matched IgG. Following immunoprecipitation, RNA was extracted from AGO2 or control IgG IP for short RNA sequencing. Two independent biological replicates were carried out.	<a href="http://duffel.rail.bio/recount/ERP004352/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004352/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004352/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004352/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004352/ERP004352.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004352/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004375">ERP004375</a>	194	human	High-throughput cellular phenotyping to understand the etiology and pathology of host-pathogen interaction.	<a href="http://duffel.rail.bio/recount/ERP004375/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004375/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004375/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004375/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004375/ERP004375.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004375/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004399">ERP004399</a>	4	human	Identifying miRNA-regulated genes is key to understanding miRNA function. However, many miRNA recognition elements (MREs) do not follow canonical "seed" base-pairing rules, making identification of bona fide targets challenging. Here, we apply an unbiased sequencing-based systems approach to characterize miR-522, a member of the oncogenic primate-specific chromosome 19 miRNA cluster, highly expressed in poorly differentiated cancers. To identify miRNA targets, we sequenced full-length transcripts captured by a biotinylated miRNA mimic. Within these targets, mostly non-canonical MREs were identified by sequencing RNase-resistant fragments (this dataset).	<a href="http://duffel.rail.bio/recount/ERP004399/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004399/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004399/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004399/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004399/ERP004399.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004399/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004402">ERP004402</a>	6	human	In order to assess the effect of AGO2 on the transcriptional and post-transcriptional regulation of gene expression, RNA expression was profiled in untreated, CTRL siRNA transfected and AGO2 siRNA transfected HeLaS3 cells	<a href="http://duffel.rail.bio/recount/ERP004402/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004402/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004402/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004402/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004402/ERP004402.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004402/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004573">ERP004573</a>	9	human	S. aureus infection stimulates de novo synthesis and secretion of Nerve Growth Factor beta (NGF beta). The release of NGF beta does not depend on phagocytosis and can be stimulated by exo-products from S. aureus growth conditioned media. Mutants of the SaeR/SaeS two-component regulatory system that modulate exoprotein release in S. aureus do not elicit the same response, suggesting that specific S. aureus proteins are involved in the induction of NGF beta. In this study, we aim to perform gene expression profiling of human monocytic cell line THP1 cells that have been incubated with live wild type S. aureus, a saeS- mutant, and dead wild type S. aureus.  The aims of the experiment is to identify a set of genes expressed in the wild type S. aureus but not in cells lacking either the response regulator or sensor kinase components of the sae global regulator.	<a href="http://duffel.rail.bio/recount/ERP004573/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004573/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004573/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004573/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004573/ERP004573.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004573/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004578">ERP004578</a>	3	human	Next-generation sequencing (NGS) technologies have dramatically expanded the breadth of genomics. Genome-scale data, once restricted to a small number of biomedical model organisms with significant resources, can now be generated for virtually any species at remarkable speed and low cost. Yet non-model organisms often lack a suitable reference to map sequence reads against, making alignment-based quality control (QC) of NGS data more challenging than cases where a well-assembled genome is already available. Here we show that by generating a rapid, non-optimized draft assembly of raw reads, it is possible to obtain reliable QC metrics without the need for a high quality reference genome. We use benchmark datasets generated from control samples across a range of genome sizes to illustrate that QC inferences made using draft assemblies are broadly equivalent to those made using a well-established reference, and describe QC tools routinely used in our production facility to assess the quality of NGS data from non-model organisms.	<a href="http://duffel.rail.bio/recount/ERP004578/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004578/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004578/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004578/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004578/ERP004578.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004578/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004592">ERP004592</a>	23	human	To identify genome-wide differentially expressed microRNAs (miRNAs) between Huntington's disease (HD) and control Human pre-frontal cortex samples	<a href="http://duffel.rail.bio/recount/ERP004592/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004592/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004592/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004592/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004592/ERP004592.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004592/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004617">ERP004617</a>	7	human	Using RNA deep sequencing we determined gene expression patterns and expression genotypes in Acute Myeloid Leukemia (AML) cell lines harboring a 3q-aberration. These cell lines specifically overexpress the gene EVI1 which plays a significant part in leukomogenesis. Additionally we RNA sequenced AML cell lines that overexpress EVI1 resulting from different genetic causes or do not express EVI1 at all.	<a href="http://duffel.rail.bio/recount/ERP004617/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004617/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004617/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004617/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004617/ERP004617.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004617/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004682">ERP004682</a>	6	human	RNAseq to assess changes in transcript abundance upon knockdown of the RNA-binding protein Unkempt in human SH-SY5Y cell lines.	<a href="http://duffel.rail.bio/recount/ERP004682/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004682/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004682/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004682/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004682/ERP004682.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004682/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004683">ERP004683</a>	5	human	Ribosome profiling to assess changes in ribosome occpancy upon overexpression of the RNA-binding protein Unkempt (most likely acts as a translational regulator) in human HeLa cell lines.	<a href="http://duffel.rail.bio/recount/ERP004683/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004683/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004683/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004683/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004683/ERP004683.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004683/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004684">ERP004684</a>	7	human	iCLIP experiments tomap the RNA binding sites of the RNA-binding protein Unkempt across the transcriptome in SH-SY5Y cells, HeLa cells with ectopic Unk expression and mouse E15 embryonic brain samples. Expression of Unk is normally largely restricted to the nervous system. We therefore mapped the binding sites in human SH-SY5Y and mouse E15 brain to detect its physiological binding sites (in SH-SY5Y, we also performed the RNAseq experiment upon Unk knockdown). HeLa cells on the other hand normally don't express Unk, but convert to neuron-like shape when the protein is ectopically expressed. So, here we hoped to identify those binding events (and hence target transcripts) that are critical for this morphological transformation.	<a href="http://duffel.rail.bio/recount/ERP004684/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004684/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004684/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004684/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004684/ERP004684.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004684/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP004697">ERP004697</a>	8	human	Systematic survey of gene and isoform allele-specific expression in human brain and liver tissues, and description of optimised bioinformatic and statistical methods to accurately measure allele-specific expression. DNA-seq data for the same set of samples have been deposited at the European Nucleotide Archive under project accessino PRJEB5279 ( http://www.ebi.ac.uk/ena/data/view/PRJEB5279 ).	<a href="http://duffel.rail.bio/recount/ERP004697/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004697/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004697/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004697/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP004697/ERP004697.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP004697/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP005189">ERP005189</a>	6	human	Atmospheric pressure cold plasma (APCP) is a novel tool in medicine for tissue disinfection. It is  produced by a device that ionizes a flow of helium gas partially mixed with air. We recently reported that 2-minute of APCP application significantly reduce the microbial viability without evident damage on the ocular cells and tissues. To validate its use as antimicrobial for biomedical purposes such as ophthalmic applications, with this study we verified the functional changes in human corneas exposed to APCP by means of global gene expression analysis. To our knowledge, this is the first analysis of the effects of cold plasma on gene expression.	<a href="http://duffel.rail.bio/recount/ERP005189/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005189/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005189/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP005189/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP005189/ERP005189.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005189/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP005274">ERP005274</a>	2	human	We are human embryologists from center for reproductive medicinel of Anhui Provincial Hospital Affiliated to Anhui Medical University, and we have the expertise to do all that properly in humans. By deep sequencing, the current experiment determined the miRNA profile of two intrafollicular somatic cell types: CRCs and COCs, isolated from women undergoing controlled ovarian stimulation and in vitro fertilization treatment. Ovarian follicles, which are a densely-packed shell of granulosa cells that contains an immature or mature oocyte, are above all responsible for the development, maturation, and release of mature egg for fertilization. They are also responsible for synthesizing and secreting hormones that are essential for follicular development, menstrual and estrous cycle, maintenance of the reproductive tracts and their functions, development of female secondary sex characteristics, and metabolism. During folliculogenesis, ovarian granulosa cells surrounding the oocyte differentiate into mural granulosa cells, involved in gonadal steroidogenesis, and into cumulus cells, which are ovulated with the oocyte at ovulation. These cumulus cells derive from the same population of early follicles, but differentiate into two distinct groups of cells: 1) Those directly lie on the zona pellucida are composed of the so called "corona radiata cells".(CRCs)  2) The other group surrounds the CRCs and consists of more numerous cells, forming the so called "cumulus oophorus cells (COCs)". In the present study, we described the miRNA expression profile to characterize the ensemble of both known and novel miRNAs expressed in CRCs, as well as in COCs, by using high-throughput Solexa technology.	<a href="http://duffel.rail.bio/recount/ERP005274/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005274/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005274/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP005274/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP005274/ERP005274.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP005274/files_info.tsv">link</a>
